Method,Matrix_Size,Process_Count,Time
mpi4py,10000,2,0.9
mpi4py,10000,4,5.4
mpi4py,10000,8,6.1
mpi4py,10000,16,8.7
mpi4py,14000,2,45.1
mpi4py,14000,4,39
mpi4py,14000,8,18.8
mpi4py,14000,16,23.7
mpi4py,16000,2,41.5
mpi4py,16000,4,39.2
mpi4py,16000,8,43.8
mpi4py,16000,16,23.2
multiprocessing,10000,2,59.3
multiprocessing,10000,4,19.1
multiprocessing,10000,8,11.9
multiprocessing,10000,16,5.2
multiprocessing,14000,2,165.1
multiprocessing,14000,4,47.5
multiprocessing,14000,8,27.2
multiprocessing,14000,16,14.8
multiprocessing,16000,2,264.1
multiprocessing,16000,4,60.8
multiprocessing,16000,8,41.1
multiprocessing,16000,16,18.9
scipy,10000,,2.6
scipy,14000,,5.3
scipy,16000,,22.5
